Country,Pop.('000)
Afghanistan,  38 928
Albania,  2 878
Algeria,  43 851
American Samoa,55
Andorra,77
Angola,  32 866
Anguilla,15
Antigua and Barbuda,98
Argentina,  45 196
Armenia,  2 963
Aruba,107
Australia,  25 500
Austria,  9 006
Azerbaijan,  10 139
Bahamas,393
Bahrain,  1 702
Bangladesh,  164 689
Barbados,287
Belarus,  9 449
Belgium,  11 590
Belize,398
Benin,  12 123
Bermuda,62
Bhutan,772
Bolivia,  11 673
Bosnia and Herzegovina,  3 281
Botswana,  2 352
Brazil,  212 559
British Virgin Islands,30
Brunei,437
Bulgaria,  6 948
Burkina Faso,  20 903
Burundi,  11 891
Cabo Verde,556
Cambodia,  16 719
Cameroon,  26 546
Canada,  37 742
Cayman Islands,66
Chad,  16 426
Chile,  19 116
China, 1 439 324
Colombia,  50 883
Comoros,870
Congo Brazzaville,  5 518
Congo Kinshasa,  89 561
Cook Islands,18
Costa Rica,  5 094
Côte d'Ivoire,  26 378
Croatia,  4 105
Cuba,  11 327
Curaçao,164
Cyprus,  1 207
Czechia,  10 709
Denmark,  5 792
Djibouti,988
Dominica,72
Dominican Republic,  10 848
Ecuador,  17 643
Egypt,  102 334
El Salvador,  6 486
Equatorial Guinea,  1 403
Eritrea,  3 546
Estonia,  1 327
Eswatini,  1 160
Ethiopia,  114 964
Falkland Islands Malvinas,3
Faroe Islands,49
Fiji,896
Finland,  5 541
France,  65 274
French Guiana,299
French Polynesia,281
Gabon,  2 226
Gambia,  2 417
Georgia,  3 989
Germany,  83 784
Ghana,  31 073
Gibraltar,34
Greece,  10 423
Greenland,57
Grenada,113
Guadeloupe,400
Guam,169
Guatemala,  17 916
Guinea,  13 133
Guinea-Bissau,  1 968
Guyana,787
Haiti,  11 403
Holy See Vatican City State,1
Honduras,  9 905
Hong Kong SAR China,  7 497
Hungary,  9 660
Iceland,341
India, 1 380 004
Indonesia,  273 524
Iran,  83 993
Iraq,  40 223
Ireland,  4 938
Isle of Man,85
Israel,  8 656
Italy,  60 462
Jamaica,  2 961
Japan,  126 476
Jordan,  10 203
Kazakhstan,  18 777
Kenya,  53 771
Kiribati,119
Korea North,  25 779
Korea South,  51 269
Kuwait,  4 271
Kyrgyzstan,  6 524
Laos,  7 276
Latvia,  1 886
Lebanon,  6 825
Lesotho,  2 142
Liberia,  5 058
Libya,  6 871
Liechtenstein,38
Lithuania,  2 722
Luxembourg,626
Macao SAR China,649
Madagascar,  27 691
Malawi,  19 130
Malaysia,  32 366
Maldives,541
Mali,  20 251
Malta,442
Marshall Islands,59
Martinique,375
Mauritania,  4 650
Mauritius,  1 272
Mayotte,273
Melanesia,  11 123
Mexico,  128 933
Micronesia,549
Micronesia,115
Moldova,  4 034
Monaco,39
Mongolia,  3 278
Montenegro,628
Montserrat,5
Morocco,  36 911
Mozambique,  31 255
Myanmar,  54 410
Namibia,  2 541
Nauru,11
Nepal,  29 137
Netherlands,  17 135
New Caledonia,285
New Zealand,  4 822
Nicaragua,  6 625
Niger,  24 207
Nigeria,  206 140
Niue,2
North Macedonia,  2 083
Northern Mariana Islands,58
Norway,  5 421
Oman,  5 107
Pakistan,  220 892
Palau,18
Palestine,  5 101
Panama,  4 315
Papua New Guinea,  8 947
Paraguay,  7 133
Peru,  32 972
Philippines,  109 581
Poland,  37 847
Polynesia,684
Portugal,  10 197
Puerto Rico,  2 861
Qatar,  2 881
Réunion,895
Romania,  19 238
Russian,  145 934
Rwanda,  12 952
Saint Helena,6
Saint Kitts and Nevis,53
Saint Lucia,184
Saint Pierre and Miquelon,6
Saint Vincent and the Grenadines,111
Samoa,198
San Marino,34
Sao Tome and Principe,219
Saudi Arabia,  34 814
Senegal,  16 744
Serbia,  8 737
Seychelles,98
Sierra Leone,  7 977
Singapore,  5 850
Slovakia,  5 460
Slovenia,  2 079
Solomon Islands,687
Somalia,  15 893
South Africa,  59 309
South Sudan,  11 194
Spain,  46 755
Sri Lanka,  21 413
Sudan,  43 849
Suriname,587
Sweden,  10 099
Switzerland,  8 655
Syria,  17 501
Taiwan,  23 817
Tajikistan,  9 538
Tanzania,  59 734
Thailand,  69 800
Timor-Leste,  1 318
Togo,  8 279
Tokelau,1
Tonga,106
Trinidad and Tobago,  1 399
Tunisia,  11 819
Turkey,  84 339
Turkmenistan,  6 031
Turks and Caicos Islands,39
Tuvalu,12
Uganda,  45 741
Ukraine,  43 734
United Arab Emirates,  9 890
United Kingdom,  67 886
United States,  331 003
Uruguay,  3 474
Uzbekistan,  33 469
Vanuatu,307
Venezuela,  28 436
Vietnam,  97 339
Virgin Islands,104
Wallis and Futuna Islands,11
Western Europe,  196 146
Western Sahara,597
Yemen,  29 826
Zambia,  18 384
Zimbabwe,  14 863
